mbid,listeners,playcount
2b2a7e94-fdc6-4c2e-859c-441faa4089cd,3,7
a717be4f-8b3d-4355-b33c-2b84f88fe40d,379202,2450893
e08e97f1-c5d5-4ac7-b2f1-aae617990640,0,0
0612bcce-e351-40be-b3d7-2bb5e1c23479,1115585,21526724
479497d4-e7c2-4e78-972e-56e78fac3995,1880846,29035454
44cf61b8-5197-448a-b82b-cef6ee89fac5,5375782,541081079
42aaf916-f453-407f-b39e-d999f6aeee4d,0,0
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,4022721,166595651
b10954d4-0b15-48a6-9333-5a4c7169da51,120,987
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,6300464,1047875551
03f8ade0-201a-43ee-90b4-96c36dc591b0,2613,17855
937389d5-d59e-4233-86d8-dacba3d5270c,2,34
eb3fdcb8-6607-41d5-9387-edd648f38bc2,69,404
5501517e-57b6-46e3-9736-e49ee657da7b,0,0
6bf692e0-baac-4428-94c3-423d52508cf0,35951,465786
9b71ad4a-df8e-4142-88f8-4d757ba18f55,0,0
5c6394b5-3af5-43f2-83c0-a061750ad233,0,0
2aaf7396-6ab8-40f3-9776-a41c42c8e26b,2369334,91602880
b7ffd2af-418f-4be2-bdd1-22f8b48613da,3477786,305442806
1d01b5f5-182a-4558-a057-2f3a109cdbcf,0,0
784bf112-03cd-444a-af31-0d63e7ea651f,0,0
3798b104-01cb-484c-a3b0-56adc6399b80,4147777,157763932
c0050289-6969-437d-be83-0fcb608ead5c,57356,295294
fde17fa5-3238-439f-ab1c-c37671e3c3b3,560,2942
697d4510-c3fe-4e96-bcc9-34739bccde8f,32920,331428
fa4b5ec6-5f3b-48a8-9fc2-c714f9781ecd,11,28
7b46472b-adda-4a9e-a6e7-824dedff9200,987110,38011768
c1a18927-020f-4241-a08c-53d2630473b8,4395,51306
e5e045da-59a3-4b65-8bb4-3c7f3ac9a529,544054,18307690
39352b9b-e3f0-46f4-8c69-ef17d541e603,3,4
e780a5a7-a7ce-4390-983e-0171b91e15c1,13,79
f213b312-92d8-4180-8483-02f26063cba5,1221,9396
9034f787-3e79-44fe-89c1-8a082d556eec,372370,2568438
60ae155f-2d68-49d5-90cf-8093f80dd046,408,2952
fe7e6678-935e-44d6-87ce-87ce7d948a5f,0,0
91a81925-92f9-4fc9-b897-93cf01226282,2619314,82208380
5157aeef-07da-41b5-b16c-5c5fb81b4f75,877,4905
b4691384-50c3-4afd-9988-51d3ec5db65d,3181505,259890235
fe73aa73-4e0f-439e-97dc-3bf0bfaecbe2,0,0
e8c7f193-0db6-4175-a469-ebce1c340429,100,537
789f6768-5830-4b08-8b4f-f38566b2eb1d,100862,1061209
463b50bc-3384-4991-b2a9-5dc573e89291,14817,221251
4e5119da-3d88-40e1-9aff-ddf660ff715b,0,0
22192191-5e78-4339-8406-62d2d9590b39,39695,345116
5cbef01b-cc35-4f52-af7b-d0df0c4f61b9,2604941,129825888
87940179-76a7-4fb7-a8d1-2e4cda09dd61,0,0
11433f50-a7da-4dc2-8ca8-84b5d160e20e,27044,203868
17b53d9f-5c63-4a09-a593-dde4608e0db9,3195130,88677379
1ea888e8-3406-41b7-a516-5e743540a442,73,308
c83430e1-1b8f-495d-a9f9-dca75d46da58,0,0
6838ca8e-da88-436c-a0fd-6d3a7e832f1f,771659,11556180
338c8478-01a8-4851-a65a-3f42ae14f2dc,4809,15895
ff748426-8873-4725-bdc7-c2b18b510d41,119126,709567
f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,3302658,52014259
ea1e93f4-d005-4897-90a9-e065f837d7e2,0,0
d4889ce7-b66b-4de5-9c88-088d2e18492c,4,4
9f3576a9-ef8d-44d2-bd05-0c3ce1ea691d,188,1456
0cc4efd9-b2db-4428-a646-82f04d653d58,2835,14689
aee63f14-ab80-4b37-86e4-d06fe05a898c,125343,957263
bc1cc75d-ab68-41b2-a135-3b62f41ea266,26175,202655
0e21491a-18a5-40d9-a68c-a651a0fda689,2269,6374
f5c29b24-f309-46e1-bc75-001f19b1edd0,3,20
8f4350e9-c567-4cda-9b10-d44ac1b9a9f4,0,0
5d06fe54-485a-4a07-b506-5f6f719448cb,165330,1715224
dee1716e-c54c-4cc1-92f6-625a0f48c4b2,2677,14197
46e35005-303b-48f8-bf30-f477fbd6936e,68,166
57944f82-e5fd-4f3c-b344-f3f9651c6931,50,160
277ae4fb-4f7a-4bfd-af15-7d36f19ac09a,0,0
85d76093-9865-4605-97fa-8c910929d366,0,0
4bdcee62-4902-4773-8cd1-e252e2e31225,2735480,78377305
42a636a0-dbe4-4d0c-abe2-1590fad9531b,312941,2720778
970ec984-5b9d-49a8-a1b3-3c0d6c7d5c34,565931,21251572
d4659efb-b8eb-4f03-95e9-f69ce35967a9,661116,11146799
2d170347-69aa-4245-9950-c3a2992abad6,1,2
bd01c9d7-89dd-4cb4-9baa-a43bfa292bed,627667,7829556
88be6065-91c5-409f-aea2-8c39a333d59c,2881,6694
b9bb7959-bdcf-45c2-a73a-0ac2e4333c2f,2773,40876
06ef7219-6c9b-42e0-a81e-9ce6ab164d13,0,0
2ddd167f-5b8a-4372-b350-6ad50493bac0,3485993,94491920
5a42040d-2ae5-4e2a-a362-22e7b19d993c,445867,9786835
c9cd225b-4883-428e-82c2-73e0b6282fb6,1032467,60267461
8546949d-f46c-45ab-8391-85b26dda6b65,658202,11110463
7cf92ae7-264e-45a6-aa22-d6f3118eb0e4,741,2158
764b0653-1855-40a2-85dd-98dabecb5efb,221342,2309018
410bbb19-8309-4a0b-9f87-3d65bde4a826,684433,11711976
70f5bb6e-9b87-4500-9c9f-2e1d373d07da,409641,6758058
010a8a3d-f197-4ec8-b67e-d7cb0326c50f,41,509
23a79d0c-0034-4348-8844-705b7cda6d13,55,258
2b1e7c27-2663-43df-9c23-8601e173e6ef,415101,72662808
d352f5dd-3023-4565-a7bb-52396bf8821d,1327814,18603402
2fddb92d-24b2-46a5-bf28-3aed46f4684c,3425208,169426975
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,4200169,1001926734
48e5f8d2-93c9-486d-9268-d5ebd2253ac0,499,2487
ba45b249-1b65-491a-b194-5d57f47c8e84,0,0
88c3a7e4-b2bc-4723-803c-819adaf68ef6,33513,239751
ba0d6274-db14-4ef5-b28d-657ebde1a396,4379968,241876752
666ffd5a-d1a7-4945-8f42-26a36dc8281c,0,0
d574c9bd-46f6-440a-8d6a-8412a283eeb1,2399353,27799773
0dcee02c-5d2c-4f5c-9d60-d58a4df32d9e,1287,14603
4d09d3b4-e52e-4863-b5bf-f4219cda3573,0,0
8718bc90-8712-4456-9359-e705851be657,2,8
3f6a5e0d-4288-43c1-94f2-aba26fbe6292,3698,15458
756335e3-00c1-4094-b878-b28d70477fd2,891,6190
c5eb9407-caeb-4303-b383-6929aa94021c,3592980,124010612
cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4,909415,374040161
b89a3568-9d87-4da0-97e3-97b30348d098,43115,216103
5bdbcb6d-1f30-4c29-8501-f63b6445fd77,11363,55256
e1d6c52e-55e1-403e-a2cc-50b07362198e,12464,139415
94e2f6fe-37ab-4e1f-b145-26cb80069503,0,0
761abc87-7ad8-4b40-9bf6-f80f1ad30f4e,6,8
96855c21-b832-4366-ba12-0d2330c36a86,2029699,269503020
23a03e33-a603-404e-bcbf-2c00159d7067,4437813,206722353
63e8d6f9-e247-45c9-aaf2-e079cddbdd54,380927,2621015
