rank,name,mbid,listeners,playcount
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,5021134,1020727652
2,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,5652991,3402868993
3,"Tyler, The Creator",f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,4067571,961135078
4,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,7904974,1265628584
5,Kendrick Lamar,381086ea-f511-4aba-bdf9-71c753dc5077,4830969,953780620
6,Tame Impala,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,3932972,355359204
7,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,7404684,955906825
8,Sabrina Carpenter,1882fe91-cdd9-49c9-9956-8e06a3810bd4,2957156,532617607
9,Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,4170530,989190842
10,Kanye West,0eb17834-1d29-47ef-a422-9dc68d73c5e4,7671808,1416939913
11,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f,6457789,1041100316
12,Charli xcx,260b6184-8828-48eb-945c-bc4cb6fc34ca,3521854,636123737
13,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,7971667,550544986
14,Billie Eilish,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,3962206,760735440
15,Lana Del Rey,b7539c32-53e7-4908-bda3-81449c367da6,4990119,1439138766
16,Doja Cat,5df62a88-cac9-490a-b62c-c7c88f4020f4,3373621,419536321
17,Arctic Monkeys,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,6808931,877592620
18,PinkPantheress,7441014f-f8f5-494f-81db-ff166fbc078d,2657186,252769118
19,Gorillaz,e21857d5-3256-4547-afb3-4b6ded592596,6558578,469366774
20,Frank Ocean,e520459c-dff4-491d-a6e4-c97be35e0044,4031079,714776181
21,Chappell Roan,56a55378-f155-48de-80a5-d80104221267,2341576,293236573
22,Paramore,44cf61b8-5197-448a-b82b-cef6ee89fac5,5346794,536533588
23,The Marías,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,2184991,181854826
24,Travis Scott,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,3136221,627937411
25,Deftones,7527f6c2-d762-4b88-b5e2-9244f1e34c46,3969934,502186579
26,Joji,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,2738946,311775073
27,The Smiths,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,4799484,493733767
28,Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,4466224,281537845
29,Fleetwood Mac,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,4598000,263696790
30,SZA,272989c8-5535-492d-a25c-9f58803e027f,3298193,542738716
31,Playboi Carti,2baf3276-ed6a-4349-8d2e-f4601e7b2167,2310205,704009402
32,Linkin Park,f59c5520-5f46-4d2c-b2c4-822eabf53419,6650809,679706274
33,Clairo,d786f59b-1836-4ddb-8393-ab753edbe984,2722245,308900344
34,The Neighbourhood,53b06622-ec51-4924-a554-58b0affde6b5,3677837,345034076
35,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,8797252,751087071
36,Lorde,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,3539320,405856352
37,Mitski,fa58cf24-0e44-421d-8519-8bf461dcfaa5,3022135,594676538
38,Olivia Rodrigo,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,2884053,508384723
39,Childish Gambino,7fb57fba-a6ef-44c2-abab-2fa3bdee607e,3570171,298831771
40,sombr,502cf908-9921-48bc-bf0e-265c881c0156,1426760,53673776
41,Tate McRae,f9133869-f87c-459c-9aa7-2f176cda7e06,2049470,215611234
42,A$AP Rocky,25b7b584-d952-4662-a8b9-dd8cdfbfeb64,3180090,309971460
43,Future,48262e82-db9f-4a92-b650-dfef979b73ec,3033806,417008688
44,Michael Jackson,f27ec8db-af05-4f36-916e-3d57f91ecf5e,6493581,318305885
45,Mac DeMarco,f2492c31-54a8-4347-a1fc-f81f72873bbf,3035337,311409081
46,Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,4904966,259968202
47,Beyoncé,859d0860-d480-4efd-970c-c05d5f1776b8,6165128,656025089
48,TV Girl,38f0c7ac-46eb-49ca-b3ab-c785ccd05a60,2599696,254701225
49,Nirvana,5b11f4ce-a62d-471e-81fc-a69a8278c7da,7264128,547493139
50,beabadoobee,88d17133-abbc-42db-9526-4e2c1db60336,2399213,278871431
51,Don Toliver,a0723a3c-4135-438e-85c5-012712144ede,2246546,212751792
52,Kali Uchis,d0c7656d-8169-4f77-9dbe-b8f24e40105d,2854312,283266403
53,KATSEYE,abbf7d85-9a7f-4a6c-80bd-bf71f2c7d520,1194553,66527633
54,Katy Perry,122d63fc-8671-43e4-9752-34e846d62a9c,6847049,411406172
55,Britney Spears,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,6153789,467960253
56,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,6280239,1042658427
57,Steve Lacy,ca9766a0-1c30-43e6-a213-bac1334efc4a,2911431,264256052
58,Laufey,21a89505-10a9-4ac0-8388-833bc07b9f86,2012835,209036273
59,Mac Miller,a0e8a1b1-5f8f-475a-a253-17415c17d0ff,3319330,395017992
60,Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,6355546,266331160
61,My Chemical Romance,c07f0676-9143-4217-8a9f-4c26bd636f13,4621509,488060219
62,TWICE,8da127cc-c432-418f-b356-ef36210d82ac,1721043,449820838
63,Lil Uzi Vert,8837b875-3689-4646-b3fd-d8b53815c7a8,2534537,386547668
64,Cigarettes After Sex,34557d8f-ee4a-44ab-ae6e-49bb8ac604d0,2650380,270627806
65,Bad Bunny,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,2049873,317781134
66,System of a Down,cc0b7089-c08d-4c10-b6b0-873582c17fd6,5608234,479720509
67,The Strokes,f181961b-20f7-459e-89de-920ef03c7ed0,5504536,450268258
68,Red Hot Chili Peppers,8bfac288-ccc5-448d-9573-c33ea2aa5c30,7004888,533922684
69,twenty one pilots,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,3085781,373422373
70,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,7552881,541834157
71,Metro Boomin,59db3d82-86ea-451f-881f-dffc8ec387c9,2316445,225055235
72,Green Day,084308bd-1654-436f-ba03-df6697104e19,6339372,419347146
73,The Cure,69ee3720-a7cb-4402-b48d-a02c366f2bcf,5199325,368586623
74,Post Malone,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,3337172,310662375
75,Hozier,b4691384-50c3-4afd-9988-51d3ec5db65d,3164937,257234065
76,Daft Punk,056e4f3e-d505-4dad-8ec1-d04f521cbb56,6083498,385361222
77,Queen,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,6968006,405086997
78,Daniel Caesar,b46e298d-d3a5-4695-a03e-63e8c523b23e,2121857,194137443
79,Addison Rae,610b71d9-fa78-47d6-9073-083922e73840,1222416,81365460
80,Pierce the Veil,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,1894515,223626532
81,Harry Styles,7eb1ce54-a355-41f9-8d68-e018b096d427,3020940,379287014
82,Olivia Dean,15e0d608-0869-429b-898d-3d8db3ecedd5,807330,26205010
83,The Smashing Pumpkins,ba0d6274-db14-4ef5-b28d-657ebde1a396,4359028,239688294
84,Panic! at the Disco,b9472588-93f3-4922-a1a2-74082cdf9ce8,4200384,289928423
85,Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,5274293,153692909
86,RAYE,8be564c3-dfba-440b-af8c-4ffbceeef45e,1472784,43323279
87,Calvin Harris,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,4765809,192495704
88,Jeff Buckley,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,3122695,141345460
89,Pink Floyd,83d91898-7763-47d7-b03b-b92132375c47,5330935,581685616
90,J. Cole,875203e1-8e58-4b86-8dcb-7190faf411c5,3667282,272166511
91,The Cranberries,c98d40fd-f6cf-4b26-883e-eaa515ee2851,4498063,145755273
92,Sade,67930b3e-e00b-469f-8c74-fd69f20522ec,3109317,114548267
93,Conan Gray,850a8b03-98a7-4fd3-afbd-5e5520b4ef5f,2255071,220293788
94,Black Eyed Peas,d5be5333-4171-427e-8e12-732087c6b78e,5465852,140743805
95,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,3082975,298646929
96,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2179725,2529448448
97,XXXTENTACION,61af87f4-16ee-4431-8504-cc06187079fb,2649528,317125628
