rank,name,mbid,listeners,playcount
72,Green Day,084308bd-1654-436f-ba03-df6697104e19,6340624,419500631
73,The Cure,69ee3720-a7cb-4402-b48d-a02c366f2bcf,5200358,368726524
74,Post Malone,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,3338200,310787032
75,Hozier,b4691384-50c3-4afd-9988-51d3ec5db65d,3165888,257398721
76,Daft Punk,056e4f3e-d505-4dad-8ec1-d04f521cbb56,6084889,385516569
77,Queen,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,6969238,405196581
78,Daniel Caesar,b46e298d-d3a5-4695-a03e-63e8c523b23e,2123094,194415534
79,Addison Rae,610b71d9-fa78-47d6-9073-083922e73840,1223896,81574217
80,Pierce the Veil,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,1895770,223930370
81,Olivia Dean,15e0d608-0869-429b-898d-3d8db3ecedd5,811588,26530040
82,Harry Styles,7eb1ce54-a355-41f9-8d68-e018b096d427,3021948,379406163
83,Panic! at the Disco,b9472588-93f3-4922-a1a2-74082cdf9ce8,4201716,290265576
84,The Smashing Pumpkins,ba0d6274-db14-4ef5-b28d-657ebde1a396,4360131,239825601
85,Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,5275861,153766849
86,RAYE,8be564c3-dfba-440b-af8c-4ffbceeef45e,1475231,43433378
87,Calvin Harris,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,4766949,192570312
88,Jeff Buckley,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,3124070,141487159
89,Pink Floyd,83d91898-7763-47d7-b03b-b92132375c47,5332047,581835244
90,Conan Gray,850a8b03-98a7-4fd3-afbd-5e5520b4ef5f,2256139,220580122
91,J. Cole,875203e1-8e58-4b86-8dcb-7190faf411c5,3668162,272291471
92,Black Eyed Peas,d5be5333-4171-427e-8e12-732087c6b78e,5467155,140811050
93,Sade,67930b3e-e00b-469f-8c74-fd69f20522ec,3110915,114668082
94,The Cranberries,c98d40fd-f6cf-4b26-883e-eaa515ee2851,4499411,145829661
95,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,3083927,298767209
96,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2180906,2530859452
97,Fall Out Boy,516cef4d-0718-4007-9939-f9b38af3f784,4839758,391340208
98,XXXTENTACION,61af87f4-16ee-4431-8504-cc06187079fb,2650471,317279076
99,Lil Peep,92da4329-77a4-425c-8e92-4280110cace9,2018228,331258584
100,Kid Cudi,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,4504503,260263696
101,NewJeans,49204a7a-ed85-407a-828f-6fd46f1d8126,1643768,298143188
102,HUNTR/X,dc7fd424-6ba4-45cc-b407-7716c7bb3605,851257,29881623
103,JAY-Z,f82bcf78-5b69-4622-a5ef-73800768d9ac,5395959,222624048
104,Magdalena Bay,68c261d5-48c8-4ea9-9466-9fc908dc79bb,1276365,92949009
105,Gracie Abrams,f7441bc7-d7de-4813-a2fc-31a4033d396d,1671184,257777311
